Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B00013,01/01/2015, 26 , 17 
B00014,01/01/2015, 45 , 24 
B00029,01/01/2015, 731 , 36 
B00053,01/01/2015, 10 , 9 
B00095,01/01/2015, 814 , 62 
B00221,01/01/2015, 220 , 46 
B00227,01/01/2015, 36 , 28 
B00248,01/01/2015," 1,137 ", 106 
B00254,01/01/2015, 236 , 103 
B00280,01/01/2015, 47 , 29 
B00310,01/01/2015," 1,792 ", 119 
B00381,01/01/2015, 23 , 13 
B00412,01/01/2015, 83 , 20 
B00457,01/01/2015," 1,846 ", 86 
B00477,01/01/2015, 57 , 39 
B00552,01/01/2015, 9 , 8 
B00623,01/01/2015, 4 , 2 
B00837,01/01/2015, 81 , 37 
B00887,01/01/2015," 1,765 ", 579 
B00919,01/01/2015, 766 , 65 
B00948,01/01/2015, 445 , 46 
B01066,01/01/2015, 704 , 69 
B01083,01/01/2015, 741 , 65 
B01087,01/01/2015, 87 , 58 
B01148,01/01/2015, 485 , 49 
B01197,01/01/2015, 23 , 12 
B01282,01/01/2015, 581 , 43 
B01285,01/01/2015, 996 , 95 
B01300,01/01/2015, 633 , 78 
B01312,01/01/2015, 390 , 49 
B01313,01/01/2015, 10 , 10 
B01315,01/01/2015," 1,234 ", 120 
B01341,01/01/2015," 1,035 ", 97 
b01346,01/01/2015, 543 , 78 
B01367    ,01/01/2015, 13 , 8 
B01386,01/01/2015," 1,841 ", 136 
B01522,01/01/2015, 61 , 12 
B01651,01/01/2015, 380 , 49 
B01777,01/01/2015," 1,195 ", 92 
B01848,01/01/2015, 20 , 1 
B01877,01/01/2015, 27 , 23 
B01899,01/01/2015, 341 , 41 
B01984,01/01/2015, 169 , 51 
B01990,01/01/2015, 20 , 8 
B02003,01/01/2015, 25 , 16 
B02022,01/01/2015, 15 , 6 
B02096,01/01/2015, 3 , 3 
B02107,01/01/2015," 1,263 ", 67 
B02120,01/01/2015, 53 , 32 
B02147,01/01/2015, 14 , 4 
